0.713083,
0.538523,
0.54774,
0.790586,
0.422405,
0.628109,
0.799165,
0.787181,
0.710675,
0.886937,
0.637429,
0.578837,
0.689265,
0.462218,
0.689528,
0.408404,
0.523,
0.680255,
0.723296,
0.659468,
0.568566,
0.64009,
0.802581,
1.14634,
1.35696,
0.000365,
