0.297297,
0.150809,
0.101239,
0.0766768,
0.0619389,
0.0529686,
0.0540046,
0.0398198,
0.0342716,
0.0331555,
0.0695259,
0.0257157,
0.0260335,
0.0235201,
0.036073,
0.0275781,
0.0260038,
0.0340952,
0.0321434,
0.0325025,
0.0308206,
0.0231098,
0.013329,
0.0368522,
0.0174407,
0.0258546,
0.0282496,
0.0264494,
0.0258175,
0.0156122,
0.0181703,
0.020695,
0.0134622,
0.0224508,
0.0209506,
0.0229604,
0.0222437,
0.0214549,
0.00964063,
0.0224144,
0.297985,
0.15045,
0.101283,
0.0772534,
0.0616325,
0.0509069,
0.0535649,
0.0383791,
0.0349458,
0.0328722,
0.0305296,
0.0273826,
0.0280053,
0.0237831,
0.0259555,
0.0194337,
0.0303421,
0.0327228,
0.0316503,
0.0263515,
0.0356447,
0.0304109,
0.0166313,
0.0283014,
0.0278652,
0.0224801,
0.0264215,
0.0261152,
0.01438,
0.0261071,
0.0247776,
0.0217054,
0.0113817,
0.0232774,
0.0218068,
0.0215491,
0.021526,
0.0210989,
0.0201307,
0.0195979,
